SecurityID,Date,Price,Volume,TotalReturn,splitAdj,SharesOutstanding,Adj,cap,Y,cap_rank
108321,2025-08-15,180.449996948242,156602161,-0.00862499978393316,480,24400000,523.4052734375,4402979925.53711,2025,1
107525,2025-08-15,520.169982910156,25213272,-0.00442099990323186,16,7433170,26.0453090667725,3866511911.86829,2025,2
101594,2024-12-31,250.419998168945,39480718,-0.00705800019204617,112,15115800,132.784896850586,3785298608.32214,2024,1
101594,2025-08-15,231.589996337891,56038657,-0.00511199980974197,112,14840400,133.246994018555,3436888181.65283,2025,3
108321,2024-12-31,134.289993286133,155659211,-0.0232749991118908,480,24490000,523.323425292969,3288761935.57739,2024,2
107525,2024-12-31,421.5,13246509,-0.00783799961209297,16,7434880,25.9459400177002,3133801920,2024,3
101594,2023-12-29,192.529998779297,42672148,-0.00542399985715747,112,15552800,132.137893676758,2994380565.01465,2023,1
101594,2021-12-31,177.570007324219,64062261,-0.0035349999088794,112,16406400,130.64860534668,2913284568.16406,2021,1
107525,2023-12-29,376.040008544922,18730838,0.00202500005252659,16,7432260,25.7549304962158,2794827113.90808,2023,2
107525,2021-12-31,336.320007324219,18000797,-0.00884099956601858,16,7507980,25.2886009216309,2525083888.59009,2021,2
203876,2025-08-15,204.910003662109,21111380,0.00534800020977855,20.05491065979,12094000,20.1749897003174,2478181584.28955,2025,4
121812,2025-08-15,203.899993896484,34931422,0.00473000016063452,20,12094000,40.1835517883301,2465966526.18408,2025,5
101310,2025-08-15,231.029998779297,39649244,0.000216000000364147,240,10664900,240,2463911833.98132,2025,6
203876,2024-12-31,190.440002441406,14355221,-0.0116769997403026,20.05491065979,12241000,20.1271705627441,2331176069.88525,2024,4
121812,2024-12-31,189.300003051758,17466919,-0.0101439999416471,20,12241000,40.0873489379883,2317221337.35657,2024,5
101310,2024-12-31,219.389999389648,24819655,-0.00863100029528141,240,10515000,240,2306885843.58215,2024,6
101594,2020-12-31,132.690002441406,99116586,-0.00770300021395087,112,17001800,129.848403930664,2255968883.5083,2020,1
101594,2022-12-30,129.929992675781,77034209,0.00246899994090199,112,15908100,131.40690612793,2066939316.4856,2022,1
154402,2025-08-15,785.22998046875,13375361,0.00396399991586804,1,2511960,1.00542294979095,1972466301.73828,2025,7
121812,2021-12-31,2897.0400390625,906759,-0.00922400038689375,1,663764,1.99711298942566,1922950884.48828,2021,3
203876,2021-12-31,2893.59008789063,864885,-0.00906100030988455,1.0027459859848,663764,1.0027459859848,1920660931.09863,2021,4
107525,2022-12-30,239.820007324219,21938472,-0.00493799988180399,16,7454470,25.5284690856934,1787731049.99817,2022,2
203876,2023-12-29,140.929992675781,14880961,-0.00247700000181794,20.05491065979,12516000,20.05491065979,1763879788.33008,2023,3
121812,2023-12-29,139.690002441406,18733017,-0.00385099998675287,20,12516000,39.9422607421875,1748360070.55664,2023,4
101310,2021-12-31,3334.34008789063,2391519,-0.0114289997145534,12,507148,12,1691003906.89355,2021,5
107525,2020-12-31,222.419998168945,20942132,0.00333800003863871,16,7560500,25.078519821167,1681606396.15631,2020,2
101310,2020-12-31,3256.92993164063,2957206,-0.00880100019276142,12,501751,12,1634167850.13062,2020,3
101310,2023-12-29,151.940002441406,39823204,-0.00938799977302551,240,10334000,240,1570147985.22949,2023,5
154402,2024-12-31,585.510009765625,6019520,-0.00969099998474121,1,2524000,1.00380396842957,1477827264.64844,2024,7
139322,2025-08-15,306.339996337891,22806938,-0.0157120004296303,10,4703470,13.9462003707886,1440860982.57538,2025,8
101594,2019-12-31,293.649993896484,25247625,0.00730699999257922,28,4443270,32.183708190918,1304766208.38043,2019,1
143439,2024-12-31,403.839996337891,76825121,-0.0325100012123585,15,3210060,15,1296350618.64441,2024,8
108321,2023-12-29,495.220001220703,38929330,0,48,2470000,52.3175811767578,1223193403.01514,2023,6
107525,2019-12-31,157.699996948242,18393383,0.000698000018019229,16,7628810,24.8155498504639,1203063313.71872,2019,2
121812,2020-12-31,1752.64001464844,1053479,0.00944000016897917,1,676426,1.99711298942566,1185531274.54858,2020,4
203876,2020-12-31,1751.88000488281,1012240,0.00710499985143542,1.0027459859848,676426,1.0027459859848,1185017184.18286,2020,5
203876,2022-12-30,88.7300033569336,19190296,-0.00247299997135997,20.05491065979,12943000,20.05491065979,1148432433.44879,2022,3
121812,2022-12-30,88.2300033569336,23986297,-0.00248700007796288,20,12943000,39.9422607421875,1141960933.44879,2022,4
139322,2024-12-31,231.839996337891,17927719,-0.0158760007470846,10,4687360,13.8704099655151,1086717525.23438,2024,9
143439,2025-08-15,330.559997558594,74319792,-0.0149590000510216,15,3225450,15,1066204744.12537,2025,9
143439,2021-12-31,1056.78002929688,13577875,-0.0126689998432994,5,1004260,5,1061281912.22168,2021,6
102108,2025-08-15,717250,310,-0.00199000001884997,1,1438,1,1031405500,2025,10
102109,2025-08-15,477.200012207031,5229761,-0.00421500019729137,50,2157340,50,1029482674.33472,2025,11
102108,2024-12-31,680920,1156,0.00412900000810623,1,1438,1,979162960,2024,10
102109,2024-12-31,453.279998779297,3380714,0.00247700000181794,50,2156420,50,977462054.967651,2024,11
154402,2021-12-31,336.350006103516,12870480,-0.023259999230504,1,2781760,1,935644992.978516,2021,7
101310,2019-12-31,1847.83996582031,2510380,0.000514000013936311,12,495797,12,916153511.533813,2019,3
154402,2023-12-29,353.959991455078,14987092,-0.0121680004522204,1,2569870,1,909631163.240662,2023,7
121812,2019-12-31,1339.39001464844,976061,-0.000239000000874512,1,643179,1.99711298942566,861467530.231568,2019,4
